Latitude: 0.00003504, Longitude: 0.00039254, Altitude: 0.31153569, Time: 20.42, Velocity: 0.08816, Heading: 1.16
Latitude: 0.00003497, Longitude: 0.00038896, Altitude: 0.31151709, Time: 21.42, Velocity: 0.08856, Heading: 1.16
Latitude: 0.00003490, Longitude: 0.00038539, Altitude: 0.31159778, Time: 22.42, Velocity: 0.08884, Heading: 1.16
Latitude: 0.00003481, Longitude: 0.00038110, Altitude: 0.31144959, Time: 23.52, Velocity: 0.08927, Heading: 1.17
Latitude: 0.00003474, Longitude: 0.00037753, Altitude: 0.31161213, Time: 24.62, Velocity: 0.08971, Heading: 1.17
Latitude: 0.00003466, Longitude: 0.00037324, Altitude: 0.31160273, Time: 25.72, Velocity: 0.09014, Heading: 1.18
Latitude: 0.00003458, Longitude: 0.00036967, Altitude: 0.31142102, Time: 26.72, Velocity: 0.09053, Heading: 1.18
Latitude: 0.00003451, Longitude: 0.00036609, Altitude: 0.31152331, Time: 27.82, Velocity: 0.09108, Heading: 1.18
Latitude: 0.00003444, Longitude: 0.00036252, Altitude: 0.31138054, Time: 28.82, Velocity: 0.09147, Heading: 1.19
Latitude: 0.00003436, Longitude: 0.00035823, Altitude: 0.31149646, Time: 29.92, Velocity: 0.09191, Heading: 1.19
Latitude: 0.00003428, Longitude: 0.00035466, Altitude: 0.31147893, Time: 30.92, Velocity: 0.09230, Heading: 1.19
Latitude: 0.00003424, Longitude: 0.00034900, Altitude: 0.31154121, Time: 32.02, Velocity: 0.17737, Heading: 0.91
Latitude: 0.00003461, Longitude: 0.00034140, Altitude: 0.31136373, Time: 33.02, Velocity: 0.19497, Heading: -0.70
Latitude: 0.00003538, Longitude: 0.00033184, Altitude: 0.31138125, Time: 34.12, Velocity: 0.19870, Heading: -2.54
Latitude: 0.00003629, Longitude: 0.00032383, Altitude: 0.31137147, Time: 35.12, Velocity: 0.19971, Heading: -4.23
Latitude: 0.00003744, Longitude: 0.00031583, Altitude: 0.31130534, Time: 36.22, Velocity: 0.20053, Heading: -6.07
Latitude: 0.00003882, Longitude: 0.00030788, Altitude: 0.31146174, Time: 37.22, Velocity: 0.20127, Heading: -7.70
Latitude: 0.00004079, Longitude: 0.00029839, Altitude: 0.31142878, Time: 38.32, Velocity: 0.20224, Heading: -9.48
