Latitude: 3.504e-05, Longitude: 0.00039254, Time: 20.42
Latitude: 3.46814327394108e-05, Longitude: 0.0003745571424543591, Time: 25.408643150131983
Latitude: 3.470187080787593e-05, Longitude: 0.0003565731908576417, Time: 29.629503383597505
Latitude: 3.5803307152266284e-05, Longitude: 0.00033862389735106214, Time: 32.8225031859051
Latitude: 3.808164036399473e-05, Longitude: 0.00032078655931379936, Time: 35.34439638149752
Latitude: 4.1378179468422805e-05, Longitude: 0.00030310603369479466, Time: 37.381852754283265
Latitude: 4.5282917982904045e-05, Longitude: 0.00028554925694279214, Time: 39.196025433227184
Latitude: 4.9648841381950416e-05, Longitude: 0.0002681011358496598, Time: 40.900684379646705
Latitude: 5.41251947756169e-05, Longitude: 0.0002506806316247979, Time: 42.52769254435394
Latitude: 5.8451306960976094e-05, Longitude: 0.0002332223278198265, Time: 44.06471286011171
Latitude: 6.256353862181926e-05, Longitude: 0.00021571258303133993, Time: 45.499780969363464
Latitude: 6.635568737726787e-05, Longitude: 0.00019813094105723347, Time: 46.83133867849464
Latitude: 6.974672635821519e-05, Longitude: 0.0001804673362892303, Time: 48.06508454518876
Latitude: 7.28766095845039e-05, Longitude: 0.00016275569343741285, Time: 49.233377681826234
Latitude: 7.569463682326658e-05, Longitude: 0.00014499237502076014, Time: 50.3417826766545
Latitude: 7.81215973398513e-05, Longitude: 0.0001271714781045284, Time: 51.40191922154634
Latitude: 8.026633336173255e-05, Longitude: 0.0001093135184755647, Time: 52.41180287684531
Latitude: 8.230044547309134e-05, Longitude: 9.144251885477383e-05, Time: 53.36228179405019
Latitude: 8.427181229217246e-05, Longitude: 7.356445732713943e-05, Time: 54.27008978791786
Latitude: 8.62044528358786e-05, Longitude: 5.568215767417458e-05, Time: 55.130029577215566
Latitude: 8.80506244555249e-05, Longitude: 3.779073090406263e-05, Time: 55.94102812879273
Latitude: 8.983108143642286e-05, Longitude: 1.9892691660883707e-05, Time: 56.7338559626368
Latitude: 9.155186381339861e-05, Longitude: 1.9888129866527513e-06, Time: 57.51158744922429
Latitude: 9.32134350205305e-05, Longitude: -1.592070742773459e-05, Time: 58.274994116504224
Latitude: 9.477916264406561e-05, Longitude: -3.3838851866395156e-05, Time: 59.035396739407915
Latitude: 9.629458938868434e-05, Longitude: -5.176128716756026e-05, Time: 59.79748660237881
Latitude: 9.776492492905877e-05, Longitude: -6.968750522281074e-05, Time: 60.56536157237354
Latitude: 9.919087637096912e-05, Longitude: -8.761732404049989e-05, Time: 61.34929696223895
Latitude: 0.00010067108101943336, Longitude: -0.00010554273369729328, Time: 62.157118220795866
Latitude: 0.00010220458077860091, Longitude: -0.00012346362939946276, Time: 62.99197505583035
Latitude: 0.00010375617006908563, Longitude: -0.0001413829961393642, Time: 63.87479565360577
Latitude: 0.00010526431409936891, Longitude: -0.00015930608128946684, Time: 64.83907974069893
Latitude: 0.0001067338545756486, Longitude: -0.00017723237387022066, Time: 65.91270396442788
Latitude: 0.00010816167781109668, Longitude: -0.00019516203579450394, Time: 67.19841865241516
Latitude: 0.00010954767096135908, Longitude: -0.0002130949817754416, Time: 68.87220891314628
Latitude: 0.00011088727941517955, Longitude: -0.00023103144915624896, Time: 70.84926399624645
