Latitude: 0.00003504, Longitude:0.00039254, Altitude: 0
Latitude: 0.00003511, Longitude:0.00034759, Altitude: 0
Latitude: 0.00004138, Longitude:0.00030311, Altitude: 0
Latitude: 0.00005189, Longitude:0.00025939, Altitude: 0
Latitude: 0.00006256, Longitude:0.00021571, Altitude: 0
Latitude: 0.00007135, Longitude:0.00017162, Altitude: 0
Latitude: 0.00007812, Longitude:0.00012717, Altitude: 0
Latitude: 0.00008329, Longitude:0.00008250, Altitude: 0
Latitude: 0.00008805, Longitude:0.00003779, Altitude: 0
Latitude: 0.00009238, Longitude:-0.00000697, Altitude: 0
Latitude: 0.00009629, Longitude:-0.00005176, Altitude: 0
Latitude: 0.00009993, Longitude:-0.00009658, Altitude: 0
Latitude: 0.00010376, Longitude:-0.00014138, Altitude: 0
Latitude: 0.00010749, Longitude:-0.00018619, Altitude: 0
Latitude: 0.00011089, Longitude:-0.00023103, Altitude: 0
Latitude: 0.00011090, Longitude:-0.00023117, Altitude: 0
